,month,day,hour,precp
511,6,22,7,0.0
512,6,22,8,0.0
513,6,22,9,0.0
514,6,22,10,0.0
515,6,22,11,0.0
516,6,22,12,0.0
517,6,22,13,0.0
518,6,22,14,0.0
519,6,22,15,0.0
520,6,22,16,0.0
521,6,22,17,0.0
522,6,22,18,0.0
523,6,22,19,0.0
524,6,22,20,0.0
525,6,22,21,0.0
526,6,22,22,0.0
527,6,22,23,0.0
528,6,23,0,0.0
529,6,23,1,0.0
530,6,23,2,0.0
531,6,23,3,2.0
532,6,23,4,0.0
533,6,23,5,0.0
534,6,23,6,0.0
535,6,23,7,0.0
536,6,23,8,0.0
537,6,23,9,0.0
538,6,23,10,0.0
539,6,23,11,0.0
540,6,23,12,0.5
541,6,23,13,0.0
542,6,23,14,0.0
543,6,23,15,0.5
544,6,23,16,12.5
545,6,23,17,0.5
546,6,23,18,0.0
547,6,23,19,0.0
548,6,23,20,0.0
549,6,23,21,0.0
550,6,23,22,0.0
551,6,23,23,0.0
552,6,24,0,0.0
553,6,24,1,0.0
554,6,24,2,0.0
555,6,24,3,0.0
556,6,24,4,0.0
557,6,24,5,0.0
558,6,24,6,0.0
559,6,24,7,4.0
560,6,24,8,0.0
561,6,24,9,0.0
562,6,24,10,0.0
563,6,24,11,0.0
564,6,24,12,0.0
565,6,24,13,0.0
566,6,24,14,0.0
567,6,24,15,0.0
568,6,24,16,0.0
569,6,24,17,0.5
570,6,24,18,0.5
571,6,24,19,0.05
572,6,24,20,0.0
573,6,24,21,0.0
574,6,24,22,0.05
575,6,24,23,0.0
576,6,25,0,0.0
577,6,25,1,0.0
578,6,25,2,0.0
579,6,25,3,0.0
580,6,25,4,0.0
581,6,25,5,0.0
582,6,25,6,0.0
583,6,25,7,0.0
584,6,25,8,0.0
585,6,25,9,0.5
586,6,25,10,11.5
587,6,25,11,3.0
588,6,25,12,0.5
589,6,25,13,0.0
590,6,25,14,0.0
591,6,25,15,0.0
592,6,25,16,0.0
593,6,25,17,0.0
594,6,25,18,0.0
595,6,25,19,0.0
596,6,25,20,0.0
597,6,25,21,0.0
598,6,25,22,0.0
599,6,25,23,0.0
600,6,26,0,0.0
601,6,26,1,0.0
602,6,26,2,0.0
603,6,26,3,0.0
604,6,26,4,0.0
605,6,26,5,0.0
606,6,26,6,0.0
607,6,26,7,0.0
608,6,26,8,0.5
609,6,26,9,0.5
610,6,26,10,0.05
611,6,26,11,0.5
612,6,26,12,0.05
613,6,26,13,0.0
614,6,26,14,0.0
615,6,26,15,0.0
616,6,26,16,0.0
617,6,26,17,0.0
618,6,26,18,0.0
619,6,26,19,0.0
620,6,26,20,0.0
621,6,26,21,0.0
622,6,26,22,0.0
623,6,26,23,0.0
624,6,27,0,0.0
625,6,27,1,0.0
626,6,27,2,0.0
627,6,27,3,0.0
628,6,27,4,0.0
629,6,27,5,0.0
630,6,27,6,0.0
631,6,27,7,0.0
632,6,27,8,0.0
633,6,27,9,0.0
634,6,27,10,0.0
635,6,27,11,0.5
636,6,27,12,0.05
637,6,27,13,0.0
638,6,27,14,0.0
639,6,27,15,0.0
640,6,27,16,0.0
641,6,27,17,0.0
642,6,27,18,0.0
643,6,27,19,0.0
644,6,27,20,0.0
645,6,27,21,0.0
646,6,27,22,0.0
647,6,27,23,0.0
648,6,28,0,0.0
649,6,28,1,0.0
650,6,28,2,0.0
651,6,28,3,0.0
652,6,28,4,0.0
653,6,28,5,0.0
654,6,28,6,0.0
655,6,28,7,0.0
656,6,28,8,0.0
657,6,28,9,0.0
658,6,28,10,0.0
659,6,28,11,0.0
660,6,28,12,0.0
661,6,28,13,0.0
662,6,28,14,0.0
663,6,28,15,0.0
664,6,28,16,0.0
665,6,28,17,0.0
666,6,28,18,0.0
667,6,28,19,0.0
668,6,28,20,0.0
669,6,28,21,0.0
670,6,28,22,0.0
671,6,28,23,0.0
672,6,29,0,0.0
673,6,29,1,0.0
674,6,29,2,0.0
675,6,29,3,0.0
676,6,29,4,0.0
677,6,29,5,0.0
678,6,29,6,0.0
679,6,29,7,0.0
680,6,29,8,0.0
681,6,29,9,0.0
682,6,29,10,0.0
683,6,29,11,0.0
684,6,29,12,0.0
685,6,29,13,0.0
686,6,29,14,0.0
687,6,29,15,0.0
688,6,29,16,0.0
689,6,29,17,0.0
690,6,29,18,0.0
691,6,29,19,0.0
692,6,29,20,0.0
693,6,29,21,0.0
694,6,29,22,0.0
695,6,29,23,0.0
696,6,30,0,0.0
697,6,30,1,0.0
698,6,30,2,0.0
699,6,30,3,0.0
700,6,30,4,0.0
701,6,30,5,0.0
702,6,30,6,0.0
703,6,30,7,0.0
704,6,30,8,0.0
705,6,30,9,0.0
706,6,30,10,0.0
707,6,30,11,0.0
708,6,30,12,0.0
709,6,30,13,0.0
710,6,30,14,0.0
711,6,30,15,0.0
712,6,30,16,0.0
713,6,30,17,0.0
714,6,30,18,0.0
715,6,30,19,0.0
716,6,30,20,0.0
717,6,30,21,0.0
718,6,30,22,0.0
719,6,30,23,0.0
720,7,1,0,0.0
721,7,1,1,0.0
722,7,1,2,0.0
723,7,1,3,0.0
724,7,1,4,0.0
725,7,1,5,0.0
726,7,1,6,0.0
727,7,1,7,0.0
728,7,1,8,0.0
729,7,1,9,0.0
730,7,1,10,0.0
731,7,1,11,0.0
732,7,1,12,0.0
733,7,1,13,0.0
734,7,1,14,0.0
735,7,1,15,0.0
736,7,1,16,0.0
737,7,1,17,0.0
738,7,1,18,0.0
739,7,1,19,0.0
740,7,1,20,0.0
741,7,1,21,0.0
742,7,1,22,0.0
743,7,1,23,0.0
744,7,2,0,0.0
745,7,2,1,0.0
746,7,2,2,0.0
747,7,2,3,0.0
748,7,2,4,0.0
749,7,2,5,1.0
750,7,2,6,0.5
751,7,2,7,0.0
752,7,2,8,0.0
753,7,2,9,0.0
754,7,2,10,0.5
755,7,2,11,0.05
756,7,2,12,0.5
757,7,2,13,0.0
758,7,2,14,0.05
759,7,2,15,0.05
760,7,2,16,0.0
